id,category,color,style,season,occasion,gender,material,brand,price_range
62,blazer,red,sport,spring,gym,unisex,linen,levi,medium
63,hoodie,red,formal,spring,daily,unisex,polyester,gap,high
64,tshirt,grey,formal,winter,party,female,polyester,gap,premium
65,coat,red,sport,spring,gym,male,denim,gucci,medium
66,jeans,blue,business,autumn,party,female,polyester,prada,premium
67,coat,green,business,winter,gym,female,cotton,uniqlo,low
68,sweater,grey,formal,summer,office,unisex,polyester,uniqlo,premium
69,trousers,brown,formal,autumn,travel,female,polyester,prada,low
70,coat,black,formal,spring,party,unisex,denim,nike,high
71,shorts,beige,sport,autumn,office,unisex,denim,hm,low
72,hoodie,red,casual,spring,party,female,denim,adidas,medium
73,jacket,beige,sport,winter,daily,unisex,cotton,gucci,high
74,shorts,brown,business,winter,daily,male,linen,gucci,low
75,tshirt,red,business,spring,office,female,wool,gap,medium
76,blazer,white,sport,winter,gym,unisex,polyester,gucci,premium
77,hoodie,white,business,winter,office,male,polyester,levi,high
78,jacket,blue,streetwear,winter,party,unisex,polyester,hm,low
79,jacket,grey,business,summer,travel,male,wool,puma,low
80,jacket,navy,sport,autumn,party,unisex,linen,levi,low
81,sweater,black,streetwear,winter,daily,female,linen,hm,premium
82,jacket,white,business,summer,travel,unisex,cotton,gap,premium
83,shirt,green,streetwear,winter,daily,female,cotton,prada,medium
84,sweater,green,business,autumn,gym,unisex,cotton,hm,premium
85,jeans,red,formal,summer,gym,unisex,denim,hm,low
86,jacket,blue,casual,winter,party,male,cotton,hm,high
87,tshirt,blue,streetwear,winter,travel,unisex,wool,adidas,premium
88,coat,grey,casual,winter,travel,unisex,linen,prada,premium
89,blazer,green,sport,autumn,daily,female,linen,gap,premium
90,tshirt,black,casual,autumn,party,female,denim,uniqlo,high
91,shorts,brown,formal,summer,office,female,denim,zara,low
92,shorts,grey,formal,summer,party,unisex,polyester,puma,medium
93,jacket,brown,business,winter,party,unisex,cotton,prada,medium
94,trousers,blue,sport,summer,office,unisex,linen,gucci,medium
95,coat,red,streetwear,winter,gym,unisex,polyester,gucci,premium
96,shorts,navy,sport,summer,daily,unisex,wool,zara,premium
97,tshirt,yellow,casual,summer,office,unisex,cotton,uniqlo,low
98,blazer,red,streetwear,autumn,party,unisex,polyester,gap,premium
99,coat,green,casual,summer,travel,unisex,linen,gap,high
100,shorts,yellow,business,summer,daily,male,denim,hm,premium
101,trousers,grey,formal,winter,gym,female,cotton,levi,premium
102,hoodie,brown,formal,spring,party,male,denim,levi,premium
103,shirt,white,streetwear,spring,gym,unisex,linen,hm,premium
104,blazer,brown,casual,summer,travel,female,denim,hm,medium
105,trousers,green,business,summer,daily,male,cotton,hm,high
106,tshirt,white,casual,autumn,office,male,polyester,gap,premium
107,trousers,navy,formal,summer,gym,male,denim,levi,high
108,shorts,green,sport,spring,office,unisex,linen,zara,high
109,coat,grey,casual,summer,party,male,wool,nike,high
110,tshirt,beige,formal,autumn,party,unisex,denim,gucci,low
111,trousers,grey,casual,spring,travel,male,cotton,nike,low
112,shorts,green,streetwear,summer,travel,female,polyester,puma,premium
113,hoodie,white,business,summer,daily,unisex,denim,puma,medium
114,shirt,black,streetwear,autumn,gym,male,cotton,gucci,high
115,blazer,black,casual,summer,daily,male,cotton,hm,medium
116,blazer,green,casual,autumn,daily,female,wool,zara,high
117,coat,blue,business,summer,office,male,denim,uniqlo,medium
118,sweater,grey,sport,winter,office,female,denim,prada,high
119,jeans,blue,streetwear,winter,travel,female,wool,nike,medium
120,trousers,grey,streetwear,summer,travel,female,linen,prada,premium
121,tshirt,black,streetwear,summer,gym,male,cotton,nike,low
122,sweater,black,casual,spring,gym,female,linen,uniqlo,high
123,trousers,navy,formal,autumn,office,male,polyester,gap,premium
124,tshirt,white,casual,autumn,travel,unisex,cotton,gucci,medium
125,jeans,grey,streetwear,winter,office,unisex,linen,zara,medium
126,jeans,red,formal,summer,daily,female,linen,hm,medium
127,jacket,navy,sport,winter,party,male,cotton,hm,medium
128,tshirt,brown,sport,spring,daily,unisex,polyester,levi,premium
129,shorts,navy,casual,winter,office,unisex,polyester,hm,high
130,sweater,yellow,business,autumn,daily,female,wool,gucci,premium
131,trousers,blue,formal,autumn,travel,male,polyester,uniqlo,premium
132,shirt,yellow,streetwear,autumn,office,male,denim,prada,premium
133,sweater,black,business,spring,party,male,cotton,nike,high
134,coat,blue,streetwear,spring,daily,female,linen,puma,low
135,blazer,grey,business,autumn,gym,unisex,linen,adidas,low
136,shorts,green,streetwear,spring,daily,female,polyester,uniqlo,premium
137,jeans,grey,formal,winter,daily,unisex,polyester,puma,high
138,sweater,navy,casual,summer,gym,female,linen,hm,medium
139,hoodie,white,streetwear,autumn,party,male,denim,nike,medium
140,jeans,green,business,autumn,daily,male,wool,hm,low
141,shirt,red,sport,autumn,office,female,cotton,hm,low
142,trousers,beige,formal,summer,gym,female,linen,hm,low
143,blazer,yellow,streetwear,spring,party,male,denim,prada,high
144,blazer,grey,sport,autumn,party,female,denim,gucci,low
145,blazer,blue,streetwear,summer,gym,male,cotton,adidas,high
146,trousers,yellow,business,autumn,office,female,linen,zara,medium
147,tshirt,navy,formal,autumn,party,unisex,linen,gap,low
148,shorts,blue,sport,spring,office,male,linen,gucci,low
149,shorts,navy,business,spring,party,female,polyester,puma,premium
150,shirt,black,business,summer,office,unisex,polyester,puma,high
151,coat,brown,formal,winter,gym,unisex,polyester,levi,medium
152,blazer,blue,sport,spring,party,male,denim,uniqlo,high
153,hoodie,grey,streetwear,winter,party,male,linen,uniqlo,high
154,blazer,beige,casual,winter,office,unisex,polyester,hm,premium
155,jeans,green,formal,spring,travel,male,wool,gap,medium
156,shorts,green,streetwear,autumn,gym,female,linen,gucci,medium
157,jeans,navy,business,spring,daily,male,linen,zara,premium
158,jeans,blue,casual,spring,party,unisex,polyester,uniqlo,high
159,jeans,yellow,formal,winter,travel,unisex,cotton,zara,low
160,blazer,yellow,sport,winter,gym,female,denim,uniqlo,low
161,jeans,grey,streetwear,spring,gym,male,linen,gap,low
162,tshirt,green,streetwear,autumn,travel,female,denim,gucci,low
163,jeans,white,casual,autumn,daily,unisex,wool,adidas,high
164,tshirt,brown,streetwear,winter,party,male,denim,adidas,high
165,jacket,beige,sport,spring,travel,unisex,polyester,gap,high
166,coat,black,casual,winter,gym,female,denim,hm,premium
167,trousers,green,casual,winter,travel,male,wool,puma,premium
168,tshirt,white,formal,spring,daily,unisex,wool,gucci,premium
169,jeans,beige,business,winter,gym,female,polyester,prada,high
170,hoodie,white,streetwear,spring,travel,male,polyester,hm,medium
171,tshirt,blue,formal,winter,travel,male,cotton,uniqlo,low
172,shirt,yellow,business,winter,office,unisex,wool,gucci,premium
173,jacket,navy,streetwear,winter,gym,female,cotton,gap,low
174,hoodie,beige,sport,winter,travel,unisex,wool,uniqlo,high
175,coat,yellow,casual,autumn,office,female,wool,puma,premium
176,coat,beige,streetwear,winter,party,male,polyester,uniqlo,high
177,coat,navy,formal,autumn,daily,male,polyester,puma,premium
178,blazer,black,business,winter,daily,female,polyester,gucci,premium
179,coat,black,sport,winter,daily,male,polyester,zara,premium
180,coat,navy,sport,spring,daily,unisex,cotton,gap,high
181,blazer,brown,sport,summer,daily,unisex,denim,nike,medium
182,trousers,green,casual,autumn,office,female,linen,gap,premium
183,sweater,green,streetwear,summer,gym,unisex,linen,zara,low
184,blazer,white,streetwear,spring,gym,female,wool,gucci,medium
185,tshirt,white,formal,autumn,office,male,cotton,gap,high
186,shirt,red,streetwear,spring,gym,unisex,linen,puma,low
187,shorts,green,business,summer,office,unisex,denim,zara,low
188,jeans,green,business,summer,daily,unisex,cotton,gucci,high
189,tshirt,green,streetwear,winter,party,unisex,wool,prada,premium
190,trousers,navy,formal,autumn,gym,unisex,wool,nike,premium
191,trousers,black,streetwear,autumn,daily,female,cotton,puma,high
192,sweater,white,sport,winter,daily,unisex,cotton,levi,premium
193,sweater,red,formal,winter,travel,unisex,cotton,uniqlo,premium
194,coat,red,casual,summer,office,male,wool,adidas,low
195,coat,black,casual,winter,daily,male,polyester,puma,premium
196,coat,red,streetwear,summer,daily,male,polyester,zara,medium
197,jacket,grey,streetwear,summer,office,unisex,denim,zara,medium
198,tshirt,brown,sport,autumn,travel,female,wool,prada,high
199,blazer,brown,casual,autumn,gym,male,cotton,uniqlo,high
